uuid	dataset_type	encode2_dbxref:array	status	submitted_by	award	lab	geo_dbxref:array	references:array	track_description_file	expVars:ignore	trackDb.ra:ignore
f044c105-28ce-4261-8a92-ae6fa770f051	composite	hg19/wgEncodeCshlLongRnaSeq	CURRENT	davisc@cshl.edu	U54HG004557	thomas-gingeras	GSE30567	19620212 ; 19620212 ; 22955978 ; 22019781 ; 22955988 ; 22950368 ; 22955616 ; 21816910	wgEncodeCshlLongRnaSeq.release3.html		
575e581c-0360-4160-a6ba-a65ba6b105ab	composite	hg19/wgEncodeHaibMethyl450	CURRENT	fpauli@hudsonalpha.org	U54HG004576	richard-myers	GSE40699	NULL	wgEncodeHaibMethyl450.html		
86366f4f-5b1e-4d55-84f4-c720439d9f25	composite	hg19/wgEncodeAffyRnaChip	CURRENT	davisc@cshl.edu	U54HG004557	thomas-gingeras		14980218 ; 15790807 ; 11988577 ; 17510325 ; 22238572	wgEncodeAffyRnaChip.html	cell,localization,rnaExtract	wgEncodeAffyRnaChip.ra
7c7ea821-aa82-4ecd-9867-9abebdd9aaec	composite	hg19/wgEncodeBroadHistone	CURRENT	epstein@broadinstitute.org	U54HG004570	bradley-bernstein	GSE29611	15680324 ; 16630819 ; 21441907 ; 20436462 ; 17603471 ; 22196736	wgEncodeBroadHistone.release3.html	cell,antibody,treatment	wgEncodeBroadHistone.release3.ra
d0cb1985-f7d4-4edc-a58c-8574ad5b5579	composite	hg19/wgEncodeBroadHmm	CURRENT	epstein@broadinstitute.org	U54HG004570	bradley-bernstein	GSE38163	20657582 ; 21441907	wgEncodeBroadHmm.html	cell	wgEncodeBroadHmm.ra
22732be6-e229-406f-b2c8-37ed09883c32	composite	hg19/wgEncodeCaltechRnaSeq	CURRENT	diane@caltech.edu	U54HG004576	barbara-wold	GSE33480	19261174 ; 18516045 ; 19289445 ; 20436464	wgEncodeCaltechRnaSeq.release4.html	cell,readType,insertLength,treatment	wgEncodeCaltechRnaSeq.release4.ra
97f741cd-74bd-4b6c-b448-d6dde431da4b	composite	hg19/wgEncodeCshlShortRnaSeq	CURRENT	davisc@cshl.edu	U54HG004557	thomas-gingeras	GSE24565	19169241	wgEncodeCshlShortRnaSeq.release3.html	cell,localization,protocol,rnaExtract	wgEncodeCshlShortRnaSeq.release3.ra
ede93502-4ac3-456f-8e95-b8a1b459919a	composite	hg19/wgEncodeDukeAffyExon	CURRENT	greg.crawford@duke.edu	U54HG004563	gregory-crawford	GSE15805	18990248 ; 16632515 ; 21498550 ; 20498046	wgEncodeDukeAffyExon.release3.html	cell,treatment	wgEncodeDukeAffyExon.release3.ra
25bb905d-9581-49fa-9f04-e9aef7968ace	composite	hg19/wgEncodeFsuRepliChip	CURRENT	gilbert@bio.fsu.edu	Unattributed	david-gilbert	GSE20027	19952138 ; 18842067 ; 22096571 ; 21637205 ; 20430782 ; 22028635	wgEncodeFsuRepliChip.release2.html	cell	wgEncodeFsuRepliChip.release2.ra
3201d8fb-c02a-45fd-88de-4e5b93dc4fd5	composite	hg19/wgEncodeGisChiaPet	CURRENT	ruanyj@gis.a-star.edu.sg	Unattributed	yijun-ruan	GSE39495	20069536 ; 19890323 ; 20181287 ; 22265404	wgEncodeGisChiaPet.html	cell,antibody	wgEncodeGisChiaPet.ra
f59f9896-bc66-4456-9873-ef3513441efa	composite	hg19/wgEncodeGisDnaPet	CURRENT	davisc@cshl.edu	U54HG004557	yijun-ruan	GSE28867	NULL	wgEncodeGisDnaPet.html	cell,fragSize	wgEncodeGisDnaPet.ra
