accession	encodeDAccession	notes
wgEncodeEH000001	ENCSR604ABK	analysis dataset
wgEncodeEH000317	ENCSR275DZV	analysis dataset
wgEncodeEH000318	ENCSR821KQV	analysis dataset
wgEncodeEH000319	ENCSR563QOU	analysis dataset
wgEncodeEH000320	ENCSR093EEM	analysis dataset
wgEncodeEH000321	ENCSR657VZZ	analysis dataset
wgEncodeEH000322	ENCSR797MUY	analysis dataset
wgEncodeEH000323	ENCSR588XDG	analysis dataset
wgEncodeEH000325	ENCSR165FBU	analysis dataset
wgEncodeEH000608	ENCSR756UOG	analysis dataset
wgEncodeEH000784	ENCSR655GEL	analysis dataset
wgEncodeEH000785	ENCSR381BVE	analysis dataset
wgEncodeEH000786	ENCSR726JET	analysis dataset
wgEncodeEH000787	ENCSR749HPS	analysis dataset
wgEncodeEH000788	ENCSR332QOL	analysis dataset
wgEncodeEH000789	ENCSR399GZH	analysis dataset
wgEncodeEH000790	ENCSR052IZW	analysis dataset
wgEncodeEH000791	ENCSR992SBT	analysis dataset
wgEncodeEH000792	ENCSR288WPZ	analysis dataset
wgEncodeEH001323	ENCSR897MRM	analysis dataset
wgEncodeEH001324	ENCSR236BTH	analysis dataset
wgEncodeEH001325	ENCSR518LJU	analysis dataset
wgEncodeEH001326	ENCSR236YNV	analysis dataset
wgEncodeEH001327	ENCSR283COF	analysis dataset
wgEncodeEH001328	ENCSR122HHF	analysis dataset
wgEncodeEH001329	ENCSR590UZU	analysis dataset
wgEncodeEH001432	ENCSR636HFF	analysis dataset
wgEncodeEH001878	ENCSR311KNV	analysis dataset
wgEncodeEH001879	ENCSR311KNV	analysis dataset
wgEncodeEH001881	ENCSR311KNV	analysis dataset
wgEncodeEH002251	ENCSR311KNV	analysis dataset
wgEncodeEH002252	ENCSR311KNV	analysis dataset
wgEncodeEH002253	ENCSR918FQM	analysis dataset
wgEncodeEH002254	ENCSR601DAI	analysis dataset
wgEncodeEH002255	ENCSR893EGV	analysis dataset
wgEncodeEH002256	ENCSR273KTY	analysis dataset
wgEncodeEH002257	ENCSR934HWL	analysis dataset
wgEncodeEH002258	ENCSR066RYF	analysis dataset
wgEncodeEH002259	ENCSR563SKA	analysis dataset
wgEncodeEH002260	ENCSR237MJM	analysis dataset
wgEncodeEH002261	ENCSR441NJL	analysis dataset
wgEncodeEH002262	ENCSR050KDJ	analysis dataset
wgEncodeEH002584	ENCSR311KNV	analysis dataset
wgEncodeEH002936	ENCSR311KNV	analysis dataset
wgEncodeEH002546	ENCSR825ZJX	analysis dataset
wgEncodeEH001343	ENCSR794HFF, ENCSR087IEW	ONE TO MANY
wgEncodeEH001349	ENCSR592WWM, ENCSR530RCY	ONE TO MANY
wgEncodeEH001350	ENCSR943EFS, ENCSR605IIO, ENCSR939RXT	ONE TO MANY
wgEncodeEH001353	ENCSR080YRO, ENCSR304PMI	ONE TO MANY
wgEncodeEH001380	ENCSR530QCN, ENCSR472ORV	ONE TO MANY
wgEncodeEH001406	ENCSR439FXM, ENCSR859PDD	ONE TO MANY
wgEncodeEH001408	ENCSR925EIW, ENCSR746DQH	ONE TO MANY
wgEncodeEH002214	ENCSR000ACU, ENCSR000ADF	ONE TO MANY
wgEncodeEH002236	ENCSR935ULX, ENCSR000CXO, ENCSR075IID, ENCSR852QFP, ENCSR750HRE, ENCSR895MIM	ONE TO MANY
wgEncodeEH002237	ENCSR727SFT, ENCSR319FPP, ENCSR786XTV, ENCSR000CXN, ENCSR501KRO, ENCSR648AAJ	ONE TO MANY
wgEncodeEH002238	ENCSR843VBL, ENCSR163QSU, ENCSR808TIZ, ENCSR884JTU, ENCSR000CXM, ENCSR621SSH	ONE TO MANY
wgEncodeEH002239	ENCSR663BEV, ENCSR000CXL, ENCSR508MZH, ENCSR281KLF, ENCSR628ZAK, ENCSR203LWG	ONE TO MANY
wgEncodeEH002240	ENCSR000CXK, ENCSR280SOU, ENCSR834FTN, ENCSR984RDT, ENCSR356ETW, ENCSR547MKY	ONE TO MANY
wgEncodeEH002241	ENCSR849LEC, ENCSR257NBQ, ENCSR703BOK, ENCSR025TZP, ENCSR214GWY, ENCSR000CXJ	ONE TO MANY
wgEncodeEH002242	ENCSR420LJO, ENCSR331IKA, ENCSR000CXI, ENCSR738PPH, ENCSR772AGI, ENCSR193NLV	ONE TO MANY
wgEncodeEH002243	ENCSR789SBW, ENCSR628LNL, ENCSR098AZD, ENCSR811MTR, ENCSR441OPI, ENCSR000CXH	ONE TO MANY
wgEncodeEH002244	ENCSR835JVR, ENCSR345QON, ENCSR109NSK, ENCSR000CXG, ENCSR216KAB, ENCSR911SCA	ONE TO MANY
wgEncodeEH002245	ENCSR903LKJ, ENCSR333KJW, ENCSR816UHB, ENCSR000CXF, ENCSR554HRW, ENCSR874RPM	ONE TO MANY
wgEncodeEH002246	ENCSR338BMC, ENCSR802MDS, ENCSR958IUL, ENCSR000CXE, ENCSR589KVH, ENCSR810JIM	ONE TO MANY
wgEncodeEH002247	ENCSR831UBH, ENCSR292KPN, ENCSR404GFT, ENCSR727ZRP, ENCSR000CXD, ENCSR170QBY	ONE TO MANY
wgEncodeEH002249	ENCSR769UFO, ENCSR406MAP, ENCSR407DUT, ENCSR000CXC, ENCSR340MHM, ENCSR886ISU	ONE TO MANY
wgEncodeEH002250	ENCSR999NSK, ENCSR305ALH, ENCSR226MSR, ENCSR347TZI, ENCSR537ICK, ENCSR000CXB	ONE TO MANY
wgEncodeEH002384	ENCSR016CNN, ENCSR885JHI, ENCSR534FPJ, ENCSR512PWK, ENCSR552ZRB, ENCSR000CXA	ONE TO MANY
wgEncodeEH002980	ENCSR000CYL	
wgEncodeEH002981	ENCSR000CYK	
wgEncodeEH002982	ENCSR000CYJ	
wgEncodeEH002983	ENCSR000CYI	
wgEncodeEH003008	ENCSR000EPB	
wgEncodeEH003009	ENCSR000EPA	
wgEncodeEH003010	ENCSR000EOZ	
wgEncodeEH003011	ENCSR000EOY	
wgEncodeEH003012	ENCSR000EOX	
wgEncodeEH003013	ENCSR000EOW	
wgEncodeEH003014	ENCSR000EOV	
wgEncodeEH003015	ENCSR000EOU	
wgEncodeEH003016	ENCSR000EOT	
wgEncodeEH003152	ENCSR000EOY	
wgEncodeEH003153	ENCSR000EOT	
wgEncodeEH000125	ENCSR297UBP	
wgEncodeEH000126	ENCSR637VLS	
wgEncodeEH000132	ENCSR643QIZ	
