experiment	submitFileName	 file licensePlate	distinguishing character	ENCSR
wgEncodeEH001343	hg19/wgEncodeHaibMethylRrbs/wgEncodeHaibMethylRrbsHek293StanfordSitesRep1.bed.bigBed	ENCFF000MBE	Stanford	ENCSR794HFF
wgEncodeEH001343	hg19/wgEncodeHaibMethylRrbs/wgEncodeHaibMethylRrbsHek293StanfordSitesRep2.bed.bigBed	ENCFF000MBG	Stanford	ENCSR794HFF
wgEncodeEH001343	hg19/wgEncodeHaibMethylRrbs/wgEncodeHaibMethylRrbsHek293StanfordRawDataRep2.fastq.gz	ENCFF000MBM	Stanford	ENCSR794HFF
wgEncodeEH001343	hg19/wgEncodeHaibMethylRrbs/wgEncodeHaibMethylRrbsHek293YalegrowprotSitesRep1.bed9.bigBed	ENCFF000MBN	Stanford	ENCSR794HFF
wgEncodeEH001343	hg19/wgEncodeHaibMethylRrbs/wgEncodeHaibMethylRrbsHek293YalegrowprotSitesRep2.bed9.bigBed	ENCFF000MBO	Stanford	ENCSR794HFF
wgEncodeEH001343	hg19/wgEncodeHaibMethylRrbs/wgEncodeHaibMethylRrbsHek293StanfordRawDataRep1.fastq.gz	ENCFF000MBV	Stanford	ENCSR794HFF
wgEncodeEH001343	hg19/wgEncodeHaibMethylRrbs/wgEncodeHaibMethylRrbsHek293StanfordSitesRep1.bed.gz	ENCFF001TMQ	Stanford	ENCSR794HFF
wgEncodeEH001343	hg19/wgEncodeHaibMethylRrbs/wgEncodeHaibMethylRrbsHek293StanfordSitesRep2.bed.gz	ENCFF001TMR	Stanford	ENCSR794HFF
wgEncodeEH001343	hg19/wgEncodeHaibMethylRrbs/wgEncodeHaibMethylRrbsHek293UwSitesRep1.bed.bigBed	ENCFF000MBI	UW	ENCSR087IEW
wgEncodeEH001343	hg19/wgEncodeHaibMethylRrbs/wgEncodeHaibMethylRrbsHek293UwSitesRep2.bed.bigBed	ENCFF000MBJ	UW	ENCSR087IEW
wgEncodeEH001343	hg19/wgEncodeHaibMethylRrbs/wgEncodeHaibMethylRrbsHek293UwstamgrowprotSitesRep1.bed9.bigBed	ENCFF000MBK	UW	ENCSR087IEW
wgEncodeEH001343	hg19/wgEncodeHaibMethylRrbs/wgEncodeHaibMethylRrbsHek293UwstamgrowprotSitesRep2.bed9.bigBed	ENCFF000MBL	UW	ENCSR087IEW
wgEncodeEH001343	hg19/wgEncodeHaibMethylRrbs/wgEncodeHaibMethylRrbsHek293UwRawDataRep1.fastq.gz	ENCFF000MBP	UW	ENCSR087IEW
wgEncodeEH001343	hg19/wgEncodeHaibMethylRrbs/wgEncodeHaibMethylRrbsHek293UwRawDataRep2.fastq.gz	ENCFF000MBR	UW	ENCSR087IEW
wgEncodeEH001343	hg19/wgEncodeHaibMethylRrbs/wgEncodeHaibMethylRrbsHek293UwSitesRep1.bed.gz	ENCFF001TMS	UW	ENCSR087IEW
wgEncodeEH001343	hg19/wgEncodeHaibMethylRrbs/wgEncodeHaibMethylRrbsHek293UwSitesRep2.bed.gz	ENCFF001TMT	UW	ENCSR087IEW
wgEncodeEH001349	hg19/wgEncodeHaibMethylRrbs/wgEncodeHaibMethylRrbsHepg2DukeSitesRep1.bed.bigBed	ENCFF000MCB	Duke	ENCSR592WWM
wgEncodeEH001349	hg19/wgEncodeHaibMethylRrbs/wgEncodeHaibMethylRrbsHepg2DukeSitesRep2.bed.bigBed	ENCFF000MCC	Duke	ENCSR592WWM
